TT	PID	AT	CT	IO_D	WT	RT	TRT
106	5	24	70	10	12	1	82
232	7	32	39	5	161	1	200
248	4	23	147	13	78	30	225
265	401	12	252	0	1	1	253
314	20	69	105	19	140	107	245
333	14	55	223	0	55	5	278
363	30	109	27	12	227	139	254
388	411	308	69	0	11	11	80
417	6	26	295	8	96	15	391
419	407	295	111	0	13	5	124
433	18	65	128	6	240	3	368
517	28	104	236	0	177	158	413
617	8	36	251	19	330	52	581
630	17	64	57	14	509	250	566
644	42	147	29	17	468	254	497
673	12	48	63	8	562	226	625
709	24	87	116	16	506	1	622
716	13	48	62	15	606	1	668
748	31	112	30	7	606	155	636
777	9	37	129	25	611	1	740
807	430	651	136	0	20	16	156
844	49	161	20	20	663	488	683
993	15	55	297	16	641	545	938
1045	2	13	180	20	852	1	1032
1125	27	100	39	6	986	721	1025
1141	441	929	206	0	6	2	212
1184	16	61	189	6	934	319	1123
1203	22	73	242	10	888	225	1130
1232	19	65	122	20	1045	54	1167
1320	46	159	61	10	1100	86	1161
1399	34	119	206	18	1074	157	1280
1414	51	168	52	20	1194	541	1246
1446	459	1305	115	0	26	26	141
1473	53	175	105	9	1193	62	1298
1521	1	6	258	28	1257	1	1515
1602	106	361	51	19	1190	36	1241
1717	11	42	186	10	1489	874	1675
1790	41	141	140	16	1509	700	1649
1794	440	918	271	0	605	602	876
1800	470	1549	247	0	4	0	251
1837	67	235	18	0	1584	227	1602
1857	40	135	220	27	1502	600	1722
1879	29	109	145	15	1625	731	1770
1891	32	119	76	5	1696	760	1772
1948	55	185	270	5	1493	220	1763
2091	58	200	141	19	1750	335	1891
2111	52	173	160	18	1778	664	1938
2185	48	161	98	17	1926	19	2024
2216	56	192	206	8	1818	49	2024
2232	486	1927	267	0	38	26	305
2264	100	349	19	13	1896	1	1915
2370	38	132	145	24	2093	76	2238
2401	23	80	267	34	2054	522	2321
2493	501	2279	176	0	38	30	214
2512	62	221	140	12	2151	423	2291
2566	37	125	246	14	2195	144	2441
2624	60	211	86	11	2327	907	2413
2712	494	2042	231	0	439	440	670
2772	54	178	142	7	2452	671	2594
2782	3	18	227	8	2537	14	2764
2782	79	278	16	9	2488	609	2504
2799	530	2714	59	0	26	22	85
2842	10	37	211	18	2594	280	2805
2882	543	2857	20	0	5	1	25
2901	21	73	243	14	2585	1208	2828
2909	57	194	134	0	2581	71	2715
2921	159	533	39	14	2349	460	2388
2945	50	163	204	0	2578	503	2782
3029	76	270	71	5	2688	37	2759
3031	90	316	19	0	2696	103	2715
3061	547	2902	158	0	1	1	159
3062	45	154	186	19	2722	1213	2908
3121	112	386	129	0	2606	38	2735
3184	35	121	202	17	2861	19	3063
